route,lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
DEN-OAK,15-30,7950,400.20076603773583,477.2,48.69,2923.6,187.60134550397532
DEN-OAK,31-60,12434,386.3138089110504,438.59,58.99,2713.6,166.08627505714946
DEN-ORD,0-3,2798,344.88833095067906,289.6,208.58,1987.6,133.78002914633092
DEN-ORD,4-7,3633,389.6964602257088,348.6,208.58,1978.6,150.65743900813786
DEN-ORD,8-14,5931,398.67965267239924,364.2,172.6,1978.6,149.83305091902776
DEN-ORD,15-30,10647,422.255811965812,408.6,162.6,2274.61,160.7847136426745
DEN-ORD,31-60,17096,402.4268899157698,387.61,123.58,2060.6,161.54656406722685
DEN-PHL,0-3,3070,404.11279804560263,369.1,132.99,2097.6,119.74541490743516
DEN-PHL,4-7,3982,429.2927448518332,389.61,83.97,2088.6,148.9114643172207
DEN-PHL,8-14,6729,447.0517238817061,434.01,122.98,2088.6,159.90580090131513
DEN-PHL,15-30,13124,480.18979198415116,482.21,103.99,2269.6,145.36037890420087
DEN-PHL,31-60,19554,449.4172379052879,448.6,95.16,2069.61,134.6690671557962
DEN-SFO,0-3,3315,329.5248295625943,253.6,133.98,1326.6,153.2680083602465
DEN-SFO,4-7,4302,325.7305090655509,241.6,113.98,1326.6,148.07632603511894
DEN-SFO,8-14,7818,333.61310693271935,283.6,113.98,1849.6,150.3600292760454
DEN-SFO,15-30,12923,335.7819020351312,318.59,75.99,1810.6,144.3535846120413
DEN-SFO,31-60,19150,314.24209712793737,288.6,58.99,1849.6,148.9316011777859
DFW-ATL,0-3,2703,286.22984831668515,252.61,126.98,2039.6,122.64506908675364
DFW-ATL,4-7,3626,290.70178433535574,260.595,92.99,1054.6,111.2473276463604
DFW-ATL,8-14,6502,291.35979544755463,263.995,72.59,1591.6,118.19304315123861
DFW-ATL,15-30,11695,309.0429337323643,279.6,61.97,1889.6,134.53070676161266
DFW-ATL,31-60,18554,291.0236024576911,268.6,66.99,1681.59,115.15122635997284
DFW-BOS,0-3,4223,335.740854842529,311.6,150.1,2320.6,146.49390945591338
DFW-BOS,4-7,5300,353.85504528301885,331.6,123.61,2311.6,107.94527024014607
DFW-BOS,8-14,8724,360.4779424575883,347.61,98.6,1517.6,109.29608577555109
DFW-BOS,15-30,15306,353.64746831307986,347.61,98.6,1526.6,98.0681076967414
DFW-BOS,31-60,20724,325.65178971241073,301.6,106.1,1007.6,104.7394410969472
DFW-CLT,0-3,3859,376.4046929256284,333.6,173.99,2210.6,182.32138138571938
DFW-CLT,4-7,5054,378.07866244558767,348.61,153.99,1670.55,142.9544449926418
DFW-CLT,8-14,8898,363.03708136659924,333.6,123.98,2210.6,139.01898893452358
DFW-CLT,15-30,14947,355.7025449923062,333.6,103.98,1753.55,133.3444663455916
